YouTube URL,Chunk Number,Chunk Filename,Transcript,Processed Transcript,Topic
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,1,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk0.wav",,,6
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,2,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk1.wav",good evening everyone. Good evening  good evening everyone. Good evening,good evening . Good evening   good evening . Good evening,2
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,3,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk2.wav",thank you thank you thank you thank you  thank you everyone but thank you thank you,thank thank thank thank   thank thank thank,2
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,4,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk3.wav",thank you all  thank you all okay  we got to get something business okay thank you all thank you thank you thank you thank you thank you thank you thank you please thank you please thank you so very much,thank   thank okay   got business okay thank thank thank thank thank thank thank thank thank thank,2
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,5,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk4.wav",thank you everyone thank you everyone thank you okay let's get to business let's get them all right  so let me start by thanking my most incredible husband Doug  for being an incredible partner to me and incredible father to call in Ella and happy anniversary Dougie,thank thank thank okay let business let right   let start thanking incredible husband Doug   incredible partner incredible father Ella happy anniversary Dougie,2
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,6,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk5.wav",I love you so very much  do our President Joe Biden  when I think about the path that we have traveled together Joe I am filled with gratitude your record is extraordinary as history will show and your character is inspiring and Doug and I love you and,love   President Joe Biden   think path traveled Joe filled gratitude record extraordinary history character inspiring Doug love,2
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,7,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk6.wav",well and are forever thankful to you both  and to coach Tim walz  you are going to be an incredible vice president  answer the delegates and everyone who has put your faith in,forever thankful   coach Tim walz   going incredible vice president   answer delegates faith,-1
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,8,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk7.wav",our campaign your support is humbling  so America  the path that led me here in recent weeks was no doubt unexpected  but I'm no stranger to unlikely Journeys so  my mother our mother Kamala Harris had one of her own and I miss her every day and especially right now  and I know she's looking down smiling,campaign support humbling   America   path led recent weeks doubt unexpected   stranger unlikely Journeys   mother mother Kamala Harris miss day especially right   know looking smiling,3
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,9,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk8.wav",I know that so my mother was 19 when she crossed the world alone traveling from India to California with an unshakable dream to be these scientists who would Cure breast cancer  when she finished school she was supposed to return home to a traditional arranged marriage but as fate would,know mother 19 crossed world traveling India California unshakable dream scientists Cure breast cancer   finished school supposed return home traditional arranged marriage fate,3
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,10,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk9.wav",she met my father Donald Harris a student from Jamaica  babe they fell in love and got married and that act of self-determination made my sister Maya and me  growing up we moved a lot I will always remember that big Mayflower truck packed with all our belongings ready to go to l.a.,met father Donald Harris student Jamaica   babe fell love got married act self - determination sister Maya   growing moved lot remember big Mayflower truck packed belongings ready l.a .,2
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,11,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk10.wav",do Wisconsin  and wherever our parents jobs took us my early memories of our parents together are very joyful ones a home filled with laughter and music Aretha Coltrane and miles  at the park my mother would say they close but my father,Wisconsin   parents jobs took early memories parents joyful ones home filled laughter music Aretha Coltrane miles   park mother close father,2
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,12,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk11.wav","play as he smiled run, run Don't Be Afraid don't let anything stop you  from my earliest years he taught me to be Fearless but the harmony between my parents did not last when I was in elementary school they split up and it was mostly my mother who raised us  before she could finally afford to buy","play smiled run , run Afraid let stop   earliest years taught Fearless harmony parents elementary school split mother raised   finally afford buy",3
